U1_18RowNumber,Date,Dchoke (mm),WHP (atm),DHGP (atm),DHGP (psi),A-annulus Pres (atm),7x10 Annulus Pressure (atm),10x13 Annulus Pressure (atm),13x18 Annulus Pressure (atm),18x24 Annulus Pressure (atm),24x28 Annulus Pressure (atm),28x32 Annulus Pressure (atm),SSSV Pressure (atm), I-II Choke Pressure  (atm), II-III Choke Pressure  (atm),III Choke Pressure (atm),DHGT (Celcius),III pille Temperature (Celcius)
100,8.29.21 4:00,#N/A,521,674,9909,106,0,110,21,3,0,1,857,250,120,59.4,102,26
101,8.29.21 6:00,#N/A,521,674,9908,106,0,110,22,3,0,1,857,250,120,59.4,102,26
102,8.29.21 8:00,#N/A,521,674,9910,106,0,110,22,3,0,1,857,250,120,59.4,102,26
103,8.29.21 10:00,#N/A,521,674,9909,106,0,111,22,3,0,1,857,250,120,59.4,102,26
104,8.29.21 12:00,#N/A,521,674,9908,106,0,111,22,3,0,1,857,250,120,59.4,102,26
105,8.29.21 14:00,#N/A,521,674,9908,106,0,111,22,3,0,1,850,250,120,59.7,102,26
106,8.29.21 16:00,#N/A,521,674,9907,106,0,111,22,3,0,1,850,250,120,59.7,102,26
107,8.29.21 18:00,#N/A,521,674,9906,106,0,111,22,3,0,1,850,250,120,59.6,102,26
108,8.29.21 20:00,#N/A,521,674,9906,107,0,112,22,3,0,1,850,250,120,59.6,102,26
109,8.29.21 22:00,#N/A,521,674,9905,107,0,112,22,3,0,1,850,250,120,59.5,102,26
110,8.30.21 0:00,#N/A,521,674,9904,107,0,112,22,3,0,1,850,250,120,59.5,102,26
111,8.30.21 2:00,#N/A,521,674,9903,107,0,112,22,3,0,1,850,250,120,59.5,102,26
112,8.30.21 4:00,#N/A,521,674,9902,107,0,112,22,3,0,1,857,250,120,59.6,102,27
113,8.30.21 6:00,#N/A,521,674,9901,107,0,112,23,3,0,1,871,250,120,59.8,102,27
114,8.30.21 8:00,#N/A,521,674,9901,108,0,113,23,3,0,1,871,250,120,60,102,27
115,8.30.21 10:00,#N/A,521,674,9900,108,0,113,24,3,0,1,871,250,120,60,102,27
